Dependency,Error_Rate,Count
obj,0.05714285714285714,35
nmod:poss,0.21428571428571427,14
nmod,0.625,8
obl,0.13725490196078433,51
xcomp,0.09090909090909091,11
advmod,0.1951219512195122,82
cc,0.11428571428571428,35
conj,0.21951219512195122,41
nsubj:cop,0.058823529411764705,17
advcl,0.4444444444444444,9
nsubj,0.16666666666666666,24
aux,0.1111111111111111,18
root,0.08163265306122448,49
punct,0.10101010101010101,99
parataxis,1.0,1
fixed,1.0,1
amod,0.043478260869565216,23
acl,0.25,8
appos,0.25,4
aux:pass,0.2,5
cop,0.047619047619047616,21
ccomp,0.09090909090909091,11
